dataset,shift,classifier,model,accuracy,precision,recall,f1,auc
mean,0,finbert,logreg,0.5228365384615384,0.5246376811594203,0.43719806763285024,0.4769433465085639,0.5407305318632549
mean,0,finbert,rf,0.5600961538461539,0.5670391061452514,0.49033816425120774,0.5259067357512953,0.5672601299031506
mean,0,finbert,mlp,0.5649038461538461,0.5575221238938053,0.6086956521739131,0.581986143187067,0.5706521739130435
mean,0,vader,logreg,0.4951923076923077,0.4930232558139535,0.5120772946859904,0.5023696682464455,0.503042438111088
mean,0,vader,rf,0.5384615384615384,0.5405405405405406,0.4830917874396135,0.5102040816326531,0.5532874511707464
mean,0,vader,mlp,0.5072115384615384,0.5039370078740157,0.6183574879227053,0.5553145336225597,0.5105604095878696
mean,0,roberta,logreg,0.5420673076923077,0.5393794749403341,0.5458937198067633,0.5426170468187275,0.5307393153502994
mean,0,roberta,rf,0.5516826923076923,0.5493975903614458,0.5507246376811594,0.5500603136308806,0.5770606522894852
mean,0,roberta,mlp,0.5336538461538461,0.518840579710145,0.8647342995169082,0.6485507246376812,0.563310450038139
mean,1,finbert,logreg,0.5012019230769231,0.4976190476190476,0.5060532687651331,0.5018007202881153,0.5106185024877634
mean,1,finbert,rf,0.5685096153846154,0.5685279187817259,0.5423728813559322,0.5551425030978935,0.5814836431720862
mean,1,finbert,mlp,0.4987980769230769,0.4887640449438202,0.2106537530266344,0.29441624365482233,0.5030194109114865
mean,1,vader,logreg,0.48677884615384615,0.478125,0.3704600484261501,0.417462482946794,0.49455350280559623
mean,1,vader,rf,0.5492788461538461,0.5489690721649485,0.5157384987893463,0.5318352059925093,0.5713534473293382
mean,1,vader,mlp,0.5216346153846154,0.5652173913043478,0.15738498789346247,0.24621212121212122,0.5016874028443139
mean,1,roberta,logreg,0.4951923076923077,0.4827586206896552,0.23728813559322035,0.3181818181818182,0.49718284627875664
mean,1,roberta,rf,0.5552884615384616,0.5536159600997507,0.5375302663438256,0.5454545454545454,0.5690939455754795
mean,1,roberta,mlp,0.4951923076923077,0.480225988700565,0.20581113801452786,0.288135593220339,0.4816697197871099
mean,2,finbert,logreg,0.49038461538461536,0.48586118251928023,0.4576271186440678,0.4713216957605985,0.47622611198113807
mean,2,finbert,rf,0.5336538461538461,0.5302663438256658,0.5302663438256658,0.5302663438256658,0.5544649719440382
mean,2,finbert,mlp,0.4807692307692308,0.47884187082405344,0.5205811138014528,0.4988399071925754,0.47858385294168637
mean,2,vader,logreg,0.4735576923076923,0.46648793565683644,0.4213075060532688,0.44274809160305345,0.46522332083191276
mean,2,vader,rf,0.5348557692307693,0.5329949238578681,0.5084745762711864,0.5204460966542751,0.5434332869104925
mean,2,vader,mlp,0.4735576923076923,0.4493927125506073,0.2687651331719128,0.33636363636363636,0.4652868873774177
mean,2,roberta,logreg,0.49399038461538464,0.4889502762430939,0.42857142857142855,0.4567741935483871,0.4850791981369223
mean,2,roberta,rf,0.5576923076923077,0.5578406169665809,0.5254237288135594,0.5411471321695761,0.5714892485856444
mean,2,roberta,mlp,0.4951923076923077,0.4951048951048951,0.8571428571428571,0.6276595744680851,0.48218403092801376
mean,4,finbert,logreg,0.5060096153846154,0.5083798882681564,0.4364508393285372,0.4696774193548387,0.524506659732455
mean,4,finbert,rf,0.5492788461538461,0.5497630331753555,0.5563549160671463,0.5530393325387366,0.5669671491722286
mean,4,finbert,mlp,0.5036057692307693,0.5105263157894737,0.23261390887290168,0.31960461285008235,0.5380457080119037
mean,4,vader,logreg,0.49399038461538464,0.4954337899543379,0.5203836930455635,0.5076023391812865,0.4976076969749501
mean,4,vader,rf,0.5264423076923077,0.5259593679458239,0.5587529976019184,0.541860465116279,0.5402877697841727
mean,4,vader,mlp,0.5,0.5042735042735043,0.14148681055155876,0.2209737827715356,0.5004911733263991
mean,4,roberta,logreg,0.49759615384615385,0.4988662131519274,0.5275779376498801,0.5128205128205128,0.5081650342376701
mean,4,roberta,rf,0.5540865384615384,0.5522727272727272,0.5827338129496403,0.5670945157526255,0.5466730230273612
mean,4,roberta,mlp,0.5048076923076923,0.5053304904051172,0.5683453237410072,0.5349887133182845,0.5026465574528329
mean,7,finbert,logreg,0.5012019230769231,0.4984025559105431,0.37681159420289856,0.42916093535075656,0.5189740655987796
mean,7,finbert,rf,0.49278846153846156,0.49078341013824883,0.5144927536231884,0.5023584905660378,0.5213144026073088
mean,7,finbert,mlp,0.5072115384615384,0.506993006993007,0.3502415458937198,0.4142857142857143,0.5201153410535562
mean,7,vader,logreg,0.4963942307692308,0.4924924924924925,0.3961352657004831,0.4390896921017403,0.5194710260499734
mean,7,vader,rf,0.5180288461538461,0.5142231947483589,0.5676328502415459,0.539609644087256,0.5399908697963617
mean,7,vader,mlp,0.49759615384615385,0.484375,0.1497584541062802,0.22878228782287824,0.51998532233086
mean,7,roberta,logreg,0.5084134615384616,0.5149700598802395,0.20772946859903382,0.29604130808950085,0.5269947761366526
mean,7,roberta,rf,0.5240384615384616,0.5208333333333334,0.5434782608695652,0.5319148936170213,0.5484507546864525
mean,7,roberta,mlp,0.5276442307692307,0.5238095238095238,0.5579710144927537,0.5403508771929825,0.5220656218939972
signed mean,0,finbert,logreg,0.5396634615384616,0.5501618122977346,0.4106280193236715,0.4702627939142462,0.5423832142939695
signed mean,0,finbert,rf,0.5769230769230769,0.5790816326530612,0.5483091787439613,0.5632754342431762,0.6058554654092411
signed mean,0,finbert,mlp,0.5372596153846154,0.5440729483282675,0.4323671497584541,0.48183041722745623,0.5536168319349097
signed mean,0,vader,logreg,0.5252403846153846,0.5225653206650831,0.5314009661835749,0.5269461077844312,0.5382515082171833
signed mean,0,vader,rf,0.5576923076923077,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5806953979150775
signed mean,0,vader,mlp,0.5216346153846154,0.5571428571428572,0.18840579710144928,0.2815884476534296,0.5399273050874882
signed mean,0,roberta,logreg,0.5300480769230769,0.5259593679458239,0.5628019323671497,0.543757292882147,0.5436891801308277
